Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
1,Julen Agirrezabala,es ESP,GK,Valencia,25-027,2000,18,18,1620,18.0,30,1.67,79,52,65.8,3,7,8,4,22.2,4,3,1,0,25.0,Matches
2,Augusto Batalla,ar ARG,GK,Rayo Vallecano,29-267,1996,20,20,1800,20.0,25,1.25,76,55,72.4,5,7,8,6,30.0,4,4,0,0,0.0,Matches
3,Lucas Bergström,fi FIN,GK,Mallorca,23-139,2002,5,5,450,5.0,7,1.40,22,15,68.2,1,2,2,2,40.0,0,0,0,0,,Matches
4,Thibaut Courtois,be BEL,GK,Real Madrid,33-256,1992,20,20,1800,20.0,17,0.85,60,45,75.0,15,3,2,9,45.0,2,2,0,0,0.0,Matches
5,Pablo Cuñat,es ESP,GK,Levante,23-269,2002,2,2,180,2.0,5,2.50,16,11,68.8,0,0,2,0,0.0,0,0,0,0,,Matches
6,Stole Dimitrievski,mk MKD,GK,Valencia,32-028,1993,2,2,180,2.0,1,0.50,4,3,75.0,1,1,0,1,50.0,0,0,0,0,,Matches
7,Matías Dituro,ar ARG,GK,Elche,38-259,1987,7,7,630,7.0,7,1.00,23,18,78.3,2,5,0,1,14.3,2,2,0,0,0.0,Matches
8,Marko Dmitrović,rs SRB,GK,Espanyol,33-363,1992,20,20,1800,20.0,22,1.10,82,63,76.8,10,4,6,7,35.0,3,3,0,0,0.0,Matches
9,Aarón Escandell,es ESP,GK,Oviedo,30-117,1995,20,20,1800,20.0,31,1.55,121,94,76.0,2,7,11,5,25.0,4,2,2,0,50.0,Matches
10,Joan García,es ESP,GK,Barcelona,24-263,2001,14,14,1260,14.0,11,0.79,45,36,80.0,12,1,1,7,50.0,2,2,0,0,0.0,Matches
11,Paulo Gazzaniga,ar ARG,GK,Girona,34-020,1992,19,19,1662,18.5,28,1.52,86,62,72.1,6,6,7,4,21.1,4,4,0,0,0.0,Matches
12,Sergio Herrera,es ESP,GK,Osasuna,32-231,1993,20,20,1800,20.0,24,1.20,95,74,77.9,6,4,10,5,25.0,3,3,0,0,0.0,Matches
13,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,25-008,2001,16,16,1440,16.0,13,0.81,51,41,78.4,12,1,3,7,43.8,3,2,1,0,33.3,Matches
14,Vladyslav Krapyvtsov,ua UKR,GK,Girona,20-211,2005,2,1,136,1.5,6,3.97,9,4,44.4,0,0,1,0,0.0,1,1,0,0,0.0,Matches
15,Pau López,es ESP,GK,Real Betis,31-040,1994,7,7,630,7.0,7,1.00,24,18,70.8,4,2,1,2,28.6,1,0,1,0,100.0,Matches
16,Juan Musso,ar ARG,GK,Atlético Madrid,31-261,1994,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
17,Ørjan Nyland,no NOR,GK,Sevilla,35-134,1990,4,4,360,4.0,7,1.75,15,9,60.0,1,1,2,1,25.0,1,1,0,0,0.0,Matches
18,Jan Oblak,si SVN,GK,Atlético Madrid,33-015,1993,19,19,1710,19.0,17,0.89,55,39,70.9,11,5,3,7,36.8,2,1,0,1,0.0,Matches
19,Iñaki Peña,es ESP,GK,Elche,26-326,1999,13,13,1170,13.0,19,1.46,66,49,74.2,3,4,6,4,30.8,2,2,0,0,0.0,Matches
20,Ionuț Radu,ro ROU,GK,Celta Vigo,28-239,1997,20,20,1800,20.0,20,1.00,80,64,77.5,8,8,4,6,30.0,7,2,2,3,50.0,Matches
21,Álex Remiro,es ESP,GK,Real Sociedad,30-304,1995,20,20,1800,20.0,28,1.40,72,47,65.3,6,6,8,1,5.0,3,3,0,0,0.0,Matches
22,Leo Román,es ESP,GK,Mallorca,25-200,2000,15,15,1350,15.0,23,1.53,66,48,71.2,4,4,7,1,6.7,5,4,1,0,20.0,Matches
23,Mathew Ryan,au AUS,GK,Levante,33-289,1992,17,17,1530,17.0,27,1.59,93,69,73.1,3,5,9,3,17.6,3,2,1,0,33.3,Matches
24,Unai Simón,es ESP,GK,Athletic Club,28-225,1997,20,20,1800,20.0,28,1.40,82,56,67.1,7,3,10,5,25.0,2,1,1,0,50.0,Matches
25,Antonio Sivera,es ESP,GK,Alavés,29-164,1996,20,20,1800,20.0,25,1.25,75,52,69.3,5,4,11,3,15.0,2,2,0,0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,David Soria,es ESP,GK,Getafe,32-293,1993,20,20,1800,20.0,26,1.30,90,64,72.2,6,3,11,4,20.0,1,1,0,0,0.0,Matches
27,Wojciech Szczęsny,pl POL,GK,Barcelona,35-279,1990,6,6,540,6.0,11,1.83,25,16,60.0,4,0,2,0,0.0,2,1,1,0,50.0,Matches
28,Arnau Tenas,es ESP,GK,Villarreal,24-237,2001,3,3,270,3.0,6,2.00,11,6,54.5,1,1,1,0,0.0,1,1,0,0,0.0,Matches
29,Álvaro Vallés,es ESP,GK,Real Betis,28-181,1997,13,13,1170,13.0,18,1.38,57,40,70.2,4,6,3,5,38.5,2,1,0,1,0.0,Matches
30,Odysseas Vlachodimos,gr GRE,GK,Sevilla,31-271,1994,16,16,1440,16.0,25,1.56,74,54,73.0,5,2,9,3,18.8,6,5,0,1,0.0,Matches
