Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
1,Jones El-Abdellaoui,ma MAR,MF,Celta Vigo,20-010,2006,11,1,288,3.2,2,0,2,2,0,0,0,0,0.62,0.00,0.62,0.62,0.62,Matches
2,Abdel Abqar,ma MAR,DF,Getafe,26-318,1999,10,8,690,7.7,0,1,1,0,0,0,5,0,0.00,0.13,0.13,0.00,0.13,Matches
3,Akor Adams,ng NGA,FW,Sevilla,25-358,2000,15,8,897,10.0,5,2,7,4,1,1,1,0,0.50,0.20,0.70,0.40,0.60,Matches
4,David Affengruber,at AUT,DF,Elche,24-309,2001,19,17,1560,17.3,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
5,Julen Agirrezabala,es ESP,GK,Valencia,25-027,2000,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
6,Lucien Agoume,fr FRA,MF,Sevilla,23-347,2002,17,15,1315,14.6,1,2,3,1,0,0,8,0,0.07,0.14,0.21,0.07,0.21,Matches
7,Marc Aguado,es ESP,MF,Elche,25-334,2000,19,16,1327,14.7,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches
8,Pablo Agudín,es ESP,MF,Oviedo,18-075,2007,4,0,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Lucas Ahijado,es ESP,DF,Oviedo,30-357,1995,10,8,775,8.6,0,1,1,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,Matches
10,Joseph Aidoo,gh GHA,DF,Celta Vigo,30-115,1995,3,2,198,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
11,Ilias Akhomach,ma MAR,MF,Villarreal,21-281,2004,9,2,188,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
12,David Alaba,at AUT,DF,Real Madrid,33-212,1992,4,1,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Alexandre Alemão,br BRA,FW,Rayo Vallecano,27-296,1998,12,6,586,6.5,1,0,1,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches
14,Carles Aleñá,es ESP,MF,Alavés,28-017,1998,20,13,1124,12.5,0,3,3,0,0,0,2,0,0.00,0.24,0.24,0.00,0.24,Matches
15,Trent Alexander-Arnold,eng ENG,"DF,MF",Real Madrid,27-107,1998,8,5,392,4.4,0,1,1,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,Matches
16,Alfon,es ESP,MF,Sevilla,26-263,1999,10,4,312,3.5,1,0,1,1,0,0,0,0,0.29,0.00,0.29,0.29,0.29,Matches
17,Thiago Almada,ar ARG,MF,Atlético Madrid,24-271,2001,12,5,493,5.5,2,1,3,2,0,0,1,0,0.37,0.18,0.55,0.37,0.55,Matches
18,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,25-237,2000,13,9,794,8.8,0,1,1,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,Matches
19,Marcos Alonso,es ESP,DF,Celta Vigo,35-025,1990,17,16,1433,15.9,1,0,1,0,1,1,2,0,0.06,0.00,0.06,0.00,0.00,Matches
